docid,author,bibliography,body,title
931,"kempner,j.","j. ae. scs. 25, 1958, 137.","stability equations for conical shells .   the author rewrites v. s. vlasov's equations for (linear) stability theory of shells (prikl. mat. meh. 8(1944), 109-placements .  the result is a single eighth-order equation for normal deflection, and two fourth-order equations relating the displacement components in the shell middle surface to the normal displacement .",stability equations for conical shells .
932,"lackman,l. and penzien,j.","j. app. mech. 27, 1960, 458.","buckling of circular cones under axial compression . presented are the results of an experimental investigation to determine the buckling strength of right circular cones under axial compression .  correlation of these data is made with existing theory and with previously published experimental data on circular cylinders,. thus a recommended procedure for predicting the buckling load of right circular cones under the foregoing loading condition is presented .",buckling of circular cones under axial compression .
936,"seide,p.","j. app. mech. 24, 1957, 547.","a donnell-type theory for asymmetrical bending and buckling of thin conical shells .   equations, somewhat more accurate than those recently presented by n. j. hoff, are derived for bending and buckling of thin circular conical shells under arbitrary loading . these equations reduce to donnell's equations for thin cylindrical shells when the cone semivertex angle becomes very small and the minimum radius of curvature of the median surface approaches a constant value .  at the other end of the scale the equations reduce to the well-known equations for flat circular plates when the cone semivertex angle approaches a right angle .  in addition, for the entire range of cone semivertex angles the equations reduce to the known equations for axisymmetrical bending when variations of the displacements around the circumference vanish .  the problem of bending is reduced to the solution of a single fourth-order partial differential equation with variable coefficients .",a donnell-type theory for asymmetrical bending and buckling of thin conical shells .
937,"seide,p.","j.app.mech.28, 1962.",on the buckling of truncated conical shells in torsion . the problem of the buckling of thin circular conical frustums in pure torsion is solved in a manner similar to that employed previously by the author for buckling under uniform hydrostatic pressure .  synthesis of the numerical results indicates that the critical torsion of a truncated cone is equal to that of an equivalent cylinder whose length and thickness are the axial length and wall thickness of the cone and whose radius is a function of the semivertex angle and the taper ratio of the cone .  curves and equations to aid in the analysis of conical frustums are given . it is shown that a previous recommendation for the analysis of truncated cones in torsion may be seriously unconservative in some cases .,on the buckling of truncated conical shells in torsion .
938,"seide,p.","j. ae. scs. 29, 1962, 951.",calculations for the stability of thin conical frustums subjected to external uniform hydrostatic pressure and axial loads .   calculations are presented for the problem of the stability of conical shells subjected to combined external uniform hydrostatic pressure and axial tension or compression .  stress interaction curves are found to vary only slightly as a function of the ratio of the end radii of the cone .,calculations for the stability of thin conical frustums subjected to external uniform hydrostatic pressure and axial loads .
957,"newman,m. and reiss,e.l.","nasa tn.d1510, 1962, 451.","axisymmetric snap buckling of conical shells .   the authors give a brief account of some of their recent analytical and numerical studies of cone buckling, limiting the discussion to axisymmetric deformations .   pertinent numerical results for the relaxation buckling of full cones subjected to uniform external pressure and belleville springs deformed by axial edge loads are presented .  in addition, bifurcation buckling problems are discussed .  for a specific case, the existence of friedrichs' intermediate buckling load, as applied to cones, is established . upper and lower bounds for its value are given .",axisymmetric snap buckling of conical shells .
964,"rivas, m.a. and shapiro, a.h.","trans. a.s.m.e., v. 78, april 1956, pp 489-497 .","on the theory of discharge coefficients for round entrance flowmeters and venturis . a theory of rounded-entrance flowmeters, based on a consideration of the  potential and boundary-layer flows in a converging nozzle, is constructed . curves are presented showing the discharge coefficient as a function of diameter reynolds number, with the /total equivalent length tional length-diameter ratio of the contraction section of the asme long-radius nozzle is presented . the theoretical curves of discharge coefficient versus diameter reynolds number are in good agreement with experiment over a range of reynolds number from 1 to 10  . the theory provides a rational framework for correlating and extrapolating experimental results,. it shows the effects of contraction shape and location of pressure taps,. it furnishes values of discharge coefficient  for untested designs,. and it suggests precautions to be taken in design, installation, and operation .",on the theory of discharge coefficients for round entrance flowmeters and venturis .
965,"simmons, f.s.","naca tn 3449, 1955 .",analytic determination of discharge coefficients of flow nozzles . integration of the velocity profile at the throat of a flow nozzle yields the discharge coefficient as a function of the ratio of boundary solution of the approximate momentum equation for the boundary layer . the resulting expression for the discharge coefficient is then a function of the reynolds number based on nozzle diameter and of the geometry  of the nozzle . good agreement is shown between this expression and published experimental data on flow nozzles for reynolds numbers between,analytic determination of discharge coefficients of flow nozzles .
966,"maslen, s.h.","nasa tr r-34, 1959","on fully developed channel flows,. some solutions and limitations, and effects of compressibility, variable properties, and body forces . an examination of the effects of compressibility, variable properties, and body forces on fully developed laminar flows has indicated several limitations on such streams . in the absence of a pressure gradient, but presence of a body force liquid this follows also for the case of a constant streamwise pressure gradient . these motions are exact in the sense of a couette flow . in the liquid case two solutions /not a new result/ can occur for the same boundary conditions . an approximate analytic solution was found which agrees closely with machine calculations . in the case of approximately exact flows, it turns out that for large temperature variations across the channel the effects of convection /due  to, say, a wall temperature gradient/ and frictional heating must be negligible . in such a case the energy and momentum equations are separated, and the solutions are readily obtained . if the temperature variations are small, then both convection effects and frictional heating can consistently be considered . this case becomes the constant-property incompressible case /or quasi-incompressible case for free-convection flows/ considered by many authors . finally, there is a brief discussion of cases wherein streamwise variations of all quantities are allowed but only in such form that the independent variables are separable . for the case where the streamwise velocity varies inversely as the square root of distance along the channel, a solution is given .","on fully developed channel flows,. some solutions and limitations, and effects of compressibility, variable properties, and body forces ."
967,"martin, d.e.","nasa tn d-855, april 1961 .","a study of laminar compressible viscous pipe flow accelerated by an axial body force, with application to magnetogasdynamics . a study is made of the steady laminar flow of a compressible viscous fluid in a circular pipe when the fluid is accelerated by an axial body force . the application of the theory to the magnetofluidmechanics of an electrically conducting gas accelerated by electric and magnetic fields is discussed . constant viscosity, thermal conductivity, and electrical conductivity are assumed . fully developed flow velocity and temperature profiles are shown, and detailed results of the accelerating  flow development, including velocity and pressure as functions of distance, are given for the case where the axial body force is constant and  for the case where it is a linear function of velocity . from these results are determined the pipe entry length and the pressure difference  required .","a study of laminar compressible viscous pipe flow accelerated by an axial body force, with application to magnetogasdynamics ."
969,"liepman,h.p.","ars jnl. 29, 1959, 453.","on the use of side-jets as control devices .   wind tunnel experiments with side-jets, issuing laterally near the base of slender bodies in a supersonic stream, have suggested the existence of a sizable and usable interaction . with this interaction force, the use of jet reaction controls may be as attractive for flight within the atmosphere as it obviously is for flight outside the atmosphere .  this note indicates the altitude regime of interest and the order of magnitude of the interaction bonus for a lateral control jet located near the base of a body of revolution .",on the use of side-jets as control devices .
970,"janos, j.j.","nasa tn d-649, march 1961 .",loads induced on a flat plate wing by an air jet exhausting perpendicularly through the wing and normal to a free-stream flow of mach number 2.0 . measurements were made of loads induced on a flat-plate wing by an air jet exhausting perpendicularly through the wing and normal to the free-stream flow . the investigation was conducted at a free-stream mach number of 2.0 and a reynolds number per foot of 14.4 x 10 . an axially symmetric sonic nozzle and two supersonic nozzles were employed for the jets . the supersonic nozzles consisted of an axially symmetric nozzle with exit mach number of 3.44 and a two-dimensional nozzle with exit mach number of 1.76 . the ratio of nozzle total pressure to free-stream static pressure was varied from 20 to 110 . negative loads were induced on the flat-plate wing by all the jets . as the nozzle pressure ratio was increased the magnitude of interference loads due to jet thrust decreased . the chordwise center-of-pressure location generally moved toward the nozzle center line as the pressure ratio was increased .,loads induced on a flat plate wing by an air jet exhausting perpendicularly through the wing and normal to a free-stream flow of mach number 2.0 .
971,"cubbison, r.w., anderson, b.h. and ward, j.j.","nasa tn d-580, february 1961 .","surface pressure distributions with a sonic jet normal to adjacent flat surfaces at mach 2.92 to 6.4 . an investigation was made to determine the interference effects on surface pressure distributions caused by a sonic jet exiting normal to the surface . two configurations, a flat plate and an arrow-wing reentry-type vehicle, with sonic nozzles near the leading edge were tested over a range of pressure ratios and reynolds numbers for mach numbers from the data indicate that jet pressure ratio had considerable effect on the  pressure levels and distributions on both configurations . also, for a constant jet pressure ratio, the free-stream mach number effect on the distributions and levels was quite large . over the limited range investigated, the effect of reynolds number at constant mach number and pressure ratio was small compared to the mach number and pressure ratio effect .",surface pressure distributions with a sonic jet normal to adjacent flat surfaces at mach 2.92 to 6.4 .
972,"romeo, d.j. and sterrett, j.r.","nasa tn d-743, april 1961 .","aerodynamic interaction effects ahead of a sonic jet exhausting perpendicularly form a flat plate into a mach number 6 free stream . an investigation of the effects of the interaction ahead of a two-dimensional sonic jet exhausting perpendicularly into a mach number were made at an angle of attack of 0degree at a reynolds number per foot  of approximately 6 x 10 and with conditions of both transitional and turbulent separation on the flat plate . the ratio of jet stagnation pressure to free-stream static pressure was varied from 8 to 460 and the  jet slot width was varied from 0.001 to 0.05 inch . the force ratio  due to reaction of jet/, calculated ahead of the jet, was sizable and varied from 0.5 to 9 . in general, the ratio increased with increasing pressure ratio and decreasing slot width . for the turbulent boundary-layer separation tests it was found that the first peak pressure and the  chordwise pressure distribution of the separated boundary layer ahead of the jet were similar to those for a separation caused by a forward-facing step at the same test conditions .",aerodynamic interaction effects ahead of a sonic jet exhausting perpendicularly form a flat plate into a mach number 6 free stream .
973,"vinson, p.w., amick, j.l. and liepman, h.p.","nasa memo 12-5-58w, february, 1959 .","interaction effects produced by jet exhausting laterally near base of ogive-cylinder model in supersonic main stream . the experimentally determined interaction effects of a side jet exhausting near the base of an ogive-cylinder model are presented and discussed . the interaction force appears to be independent of main-stream mach number, boundary-layer condition /laminar or turbulent/, angle of attack, and forebody length . the ratio of interaction force to  jet force is found to be inversely proportional to the square root of the product of jet stagnation-to-free-stream pressure ratio and jet-to- body diameter ratio .",interaction effects produced by jet exhausting laterally near base of ogive-cylinder model in supersonic main stream .
974,"wu, j.m., chapkis, r.l. and mager, a.","ars journal, 1677-1685, 1961 .","approximate analysis of thrust vector control by fluid injection . a study has been made of the side force generated by injection of secondary material into the main stream of a rocket nozzle . two cases have been analyzed .. gas injection and liquid injection . for the gas injection case, it is assumed that the turbulent boundary layer ahead of  the injection point separates from the wall . the pressure in the separated region and the extent of the separated region are determined by a consideration of turbulent boundary layer-shock wave interaction and the accommodation height of the injected gas stream . equations are derived for calculating the side force, and the side forces predicted by  the theory are compared with experimental data . the agreement between theory and experiment is fair . for the case of liquid injection, it is assumed that the liquid flows along the nozzle wall and evaporates into the main stream . the resulting side force on the nozzle wall is determined on the basis of linearized theory, thus restricting the analysis to small rates of liquid injection . the effects of small rates of heat addition are also included in the analysis . a very simple equation for calculating the side force is obtained .",approximate analysis of thrust vector control by fluid injection .
980,"hills, p.r.","naca report 1372, 1958 .","a method of computing the transient temperature of thick walls from arbitrary variation of adiabatic-wall temperature and heat-transfer coefficient . a method of calculating the temperature of thick walls has been developed in which are used relatively new concepts, such as the time series and the response to a unit triangle variation of surface temperature, together with essentially standard formulas for transient temperature and heat flow into thick walls . the method can be used without knowledge of the mathematical tools of its development . the method is particularly suitable for determining the wall temperature in one-dimensional thermal problems in aeronautics where there is a continuous variation of the heat-transfer coefficient and adiabatic-wall temperature . the method also offers a convenient means for solving the inverse problem of determining the heat-flow history when temperature history is known . a series of diversified problems were solved by exact analysis as well as by the new method . a comparison of the results shows the new method to be accurate . the labor involved is very modest in consideration of the nature of the thick-wall temperature problem . limiting solutions for the /infinitely thick/ wall and for walls so thin that thermal lag can be neglected were also obtained .",a method of computing the transient temperature of thick walls from arbitrary variation of adiabatic-wall temperature and heat-transfer coefficient .
982,"sutton, g.w.","jet propulsion, vol. 28, january 1959, p 40-5","the temperature history in a thick skin subjected to laminar heating during entry into the atmosphere . during high speed entry into the earth's atmosphere, a vehicle can be afforded thermal protection for the short period of entry heating by a thick outer skin, sometimes called a /heat sink/ . the temperature distribution in such a heat sink has been found by integrating the product of the laminar aerodynamic heating rate and the appropriate green's function for a finite-thickness wall over the generalized trajectory for a vehicle entering the earth's atmosphere at high speeds dimensional heat conduction problem for laminar heating . the maximum surface temperature that occurs during the generalized entry trajectory for any combination of wall thickness and thermal properties is obtained from which the performance of any material can be found, provided that the average thermal properties may be used . as an example of the use of  the solution, the performance of copper, graphite, molybdenum and tungsten are compared .",the temperature history in a thick skin subjected to laminar heating during entry into the atmosphere .
983,"detra, r.w., kemp, n.h. and riddell, f.r.","jet propulsion, vol. 27, december 1957 . pp 1256-57 .","addendum to 'heat transfer to satellite vehicles re-entering the atmosphere . the original paper gave a correlation formula for stagnation point heat transfer rate to a blunt body of revolution in hypersonic flow . this note gives a somewhat refined version, based on further calculation and shock tube data . its effect on the conclusions of the original paper is  negligible except at surface temperature parameters of over 5000 r-ft1/8 . in other problems, where heat transfer rate itself is important, it can make a significant defference .",addendum to 'heat transfer to satellite vehicles re-entering the atmosphere .
984,"hamrick, j.t. et al.","naca report 1082, 1952 .","method of analysis for compressible flow through mixed-flow centrifugal impellers of arbitrary design . a method is presented for analysis of the compressible flow between the hub and the shroud of mixed-flow impellers of arbitrary design . axial symmetry was assumed, but the forces in the meridional /hub to shroud/ plane, which are derived from tangential pressure gradients, were taken into account . the method was applied to an experimental mixed-flow impeller . the analysis of the flow in the meridional plane of the impeller showed that  the rotational forces, the blade curvature, and the hub-shroud profile can introduce severe velocity gradients along the hub and the shroud surfaces . choked flow at the impeller inlet as determined by the analysis was verified by experimental results .",method of analysis for compressible flow through mixed-flow centrifugal impellers of arbitrary design .
985,"smith, k.j. and hamrick, j.t.",naca tn 3399. 1955 .,"a rapid approximate method for the design of hub shroud profiles of centrifugal impellers of given blade shape . a rapid approximate method for the design of centrifugal compressors of given blade shape with compressible nonviscous flow characteristics has been developed using techniques based upon stream-filament theory . axial symmetry is assumed, but meridional-plane forces derived from tangential pressure gradients are included . the method was applied to the design of an impeller in order to determine the approximate maximum meridional streamline spacing that could be used . three numerical solutions for different streamline spacings were made using the same hub profile, blade shape, and prescribed velocity distribution along the hub . the shroud profiles obtained from the three solutions, which utilized 3, 5, and 9 stream-tubes, were negligibly different . the approximate computing time required was 15 hours per streamtube .",a rapid approximate method for the design of hub shroud profiles of centrifugal impellers of given blade shape .
987,"wu, c.","naca tn 2604, 1952 .","a general theory of three dimensional flow in subsonic and supersonic turbo-machines of axial-radial-and mixed-flow types . a general theory of steady three-dimensional flow of a nonviscous fluid in subsonic and supersonic turbomachines having arbitrary hub and casing  shapes and a finite number of blades is presented . the solution of the  three-dimensional direct and inverse problem is obtained by investigating an appropriate combination of flows on relative stream surfaces whose intersections with a z-plane either upstream of or somewhere inside the blade row form a circular arc or a radial line . the equations obtained to describe the fluid flow on these stream surfaces show clearly the several approximations involved in ordinary two-dimensional treatments . they also lead to a solution of the three-dimensional problem in a mathematically two-dimensional manner through iteration . the equation of continuity is combined with the equation of motion in either the tangential or the radial direction through the use of a stream function defined on the surface, and the resulting equation is chosen as the principal equation for such flows . the character of this equation depends on the relative magnitude of the local velocity of sound and a certain combination of velocity components of the fluid . a general method to solve this equation by both hand and high-speed digital machine computations when the equation is elliptic or hyperbolic  is described . the theory is applicable to both irrotational and rotational absolute flow at the inlet of the blade row and at both design and off-design operations .",a general theory of three dimensional flow in subsonic and supersonic turbo-machines of axial-radial-and mixed-flow types .
988,"kramer, j.j. et al.","nasa tn d-1108, 1962,",nonviscous flow through a pump impeller on a blade-to-blade surface of revolution . the nonviscous incompressible flow through a typical pump impeller is analyzed on a blade-to-blade surface of revolution . solutions are obtained for a variety of inlet conditions including several with prewhirl  of the assumed location of the rear stagnation point . comparison of results from two approximate methods of analysis showed good agreement for the zero-angle-of-attack case and reliable indication of the existence of an eddy on the driving face at a large positive angle of attack .,nonviscous flow through a pump impeller on a blade-to-blade surface of revolution .
989,"kramer, j.j. et al.","nasa tn d-1186, 1962 .","incompressible nonviscous blade-to-blade flow through a pump rotor with splitter vanes . the nonviscous flow through a mixed-flow pump impeller having one splitter vane between adjacent main blades has been analyzed on a blade-to-blade surface of revolution using a previously reported analysis method . solutions were obtained for a variety of flow conditions including several cases in which whirl is imparted to the flow upstream of the impeller . the velocity distributions on the main-blade surfaces and on the splitter-vane surfaces in the region of the splitter vane were strongly dependent on the assumed location of the rear stagnation points . solutions were obtained by assuming values of slip factor and of division of  flow around the splitter in addition to assuming the location of the rear stagnation points . these solutions indicated that the velocity distributions in the splitter-vane region are largely determined by the division of flow around the splitter vane and that only the region in the immediate vicinity of the trailing edge is affected by the slip factor . blade surface velocities were obtained from two approximate methods by specifying flow division and slip factor, and these results are compared  with the more exact solutions of the analysis .",incompressible nonviscous blade-to-blade flow through a pump rotor with splitter vanes .
997,"love, e.s. et al.","nasa tr r-6, 1959 .","experimental and theoretical studies of axisymmetric free jets . some experimental and theoretical studies have been made of axisymmetric  free jets exhausting from sonic and supersonic nozzles into still air and into supersonic streams with a view toward problems associated with propulsive jets and the investigation of these problems . for jets exhausting into still air, consideration is given to the effects of jet mach number, nozzle divergence angle, and jet static-pressure ratio upon jet structure, jet wavelength, and the shape and curvature of the jet boundary . studies of the effects of the ratio of specific heats of the jets are included as are observations pertaining to jet noise and jet simulation . for jets exhausting into supersonic streams, an attempt has been made to  present primarily theoretical curves of the type that may be useful in evaluating certain jet interference effects and in formulating experimental studies . the primary variables considered are jet mach number, free-stream mach number, jet static-pressure ratio, ratio of specific heats of the jet, nozzle exit angle, and boattail angle . the simulation  problem and the case of a hypothetical hypersonic vehicle are examined",experimental and theoretical studies of axisymmetric free jets .
998,ames research staff.,"naca r.1135, 1953.","equations, tables and charts for compressible flow .   this report, which is a revision and extension of naca tn useful in the analysis of high-speed flow of a compressible fluid . the equations provide relations for continuous one-dimensional flow, normal and oblique shock waves, and prandtl-meyer expansions for both perfect and imperfect gases .  the tables present useful dimensionless ratios for continuous one- dimensional flow and for normal shock waves as functions of mach number for air considered as a perfect gas .  one series of charts presents the characteristics of the flow of air (considered a perfect gas) for oblique shock waves and for cones in a supersonic air stream .  a second series shows the effects of caloric imperfections on continuous one-dimensional flow and on the flow through normal and oblique shock waves .","equations, tables and charts for compressible flow ."
1005,,,"free-flight measurements of the static and dynamic .   equations based on newtonian impact theory have been derived and a computational procedure developed with the aid of several design-type charts which enable the determination of the aerodynamic forces and moments acting on arbitrary bodies of revolution undergoing either separate or combined angle-of-attack and pitching motions .  bodies with axially increasing and decreasing cross-sectional area distributions are considered,. nose shapes may be sharp, blunt, or flat faced .  the analysis considers variations in angle of attack from -90 to 90 and allows for both positive and negative pitching rates of arbitrary magnitude .  the results are also directly applicable to bodies in either separate or combined sideslip and yawing maneuvers .",free-flight measurements of the static and dynamic .
1008,,,"free-flight measurements of the static and dynamic .   representative experimental results are presented to show the current status of the panel flutter problem .  results are presented for unstiffened rectangular panels and for rectangular panels stiffened by corrugated backing .  flutter boundaries are established for all types of panels when considered on the basis of equivalent isotropic plates . the effects of mach number, differential pressure, and aerodynamic heating on panel flutter are discussed .  a flutter analysis of orthotropic panels is presented in the appendix .",free-flight measurements of the static and dynamic .
1009,,,"free-flight measurements of the static and dynamic .   charts of thermodynamic properties for equilibrium air are presented with sufficient accuracy to permit the calculation of flow parameters in hypersonic nozzles operating at stagnation temperatures up to 4,950 r and pressures up to 1,000 atm .  flow parameters calculated from these charts are presented for a series of stagnation temperatures between use of these parameters, it is possible to calibrate a nozzle in the conventional way .  a method is also presented from which the flow parameters for conditions other than those chosen herein may be calculated .  real-gas effects on the calculation of a hypersonic nozzle contour are shown by an example calculation in which the nozzle contour for mach number 12 was determined by including real-gas effects, and this contour was compared with one calculated by ideal-gas considerations .  also presented are the approximate limiting mach numbers at which equilibrium air will just condense for various combinations of stagnation temperatures and pressures .",free-flight measurements of the static and dynamic .
1011,,,"free-flight measurements of the static and dynamic .   charts have been prepared relating the thermodynamic properties of air in chemical equilibrium for temperatures to 15,000 k and for pressures from 10 to 10 atmospheres .  also included are charts showing the composition of air, the isentropic exponent, and the speed of sound .  these charts are based on thermodynamic data calculated by the national bureau of standards .",free-flight measurements of the static and dynamic .
1013,,,"principles of creep buckling weight-strength analysis .   published work on creep buckling has implied that failure of columns after a critical time is caused by initial imperfections . such analyses are relatively complex and ultimately leave the choice of selecting the proper value of the initial imperfection to the designer .  furthermore, recent test results on creep buckling of columns have indicated that there is a random and relatively unimportant effect of small initial imperfections on the critical time .   to avoid the difficulties associated with initial imperfections, a formulation of the creep buckling phenomenon in terms of classical stability theory is presented .  the theory permits the extension of known solutions for plastic buckling of certain thin plates and shells to creep buckling problems .",principles of creep buckling weight-strength analysis .
1014,,,principles of creep buckling weight-strength analysis . a problem of creep stability of columns and plates is considered .  in an analysis use is made of two forms of the creep theory based on the strain hardening hypothesis .  for a uniformly compressed palte a comparison is made between the results according to the flow theory and strain theory .,principles of creep buckling weight-strength analysis .
1015,,,"principles of creep buckling weight-strength analysis .   the determination of column deflections and column buckling loads has been considered for many years .  the available theories, however, do not provide for materials which creep with time under constant loads .  for the design of structural members made of these materials, a consideration of creep may be of practical importance .  plastics, concrete, and some metals creep at normal temperatures while other metals creep only at high temperatures and at stress values beyond the yield point .  a consideration of creep in the design of some structures appears appropriate in view of the modern developments in plastics and the presence of high stress values which are sometimes beyond the yield stress . this paper gives a rational theory for predicting creep deflections in columns .  a special case using this theory is applied to the interpretation of some preliminary tests of an aluminum alloy .",principles of creep buckling weight-strength analysis .
1016,,,"principles of creep buckling weight-strength analysis .   the relation of the time-dependent tangent-modulus load--as conceived by shanley--to actual column capacity is clarified .  it may be interpreted as a limiting case of the conservative estimate .  the time-dependent tangent-modulus load is, therefore, an approximation to a conservative estimate .  the approximation, however, may be either conservative or nonconservative when applied to imperfect or real columns .  typical cases are discussed and experimental results for two alloys are cited .",principles of creep buckling weight-strength analysis .
1017,"gerard,g.","j. ae. scs. 19, 1962, 714.","note on creep buckling of columns . it appears from librove's interesting analysis that, for the case of creep buckling of columns, the initial imperfections contained in ordinary columns provide the mechanism by which failure due to creep occurs after a period of time .  in fact, it can be concluded from this analysis that a theoretically perfect column that is initially loaded below the time-independent critical load will not buckle at all .  this is an interesting contrast to the case of static buckling where small initial imperfections play an insignificant role, since the failing load of an initially imperfect column is substantially the same as that of a theoretically perfect column .  it is of interest, therefore, to conjecture whether there is any possible mechanism by which a column containing no initial imperfections can fail as a result of creep when the initial load is less than the theoretical buckling load .",note on creep buckling of columns .
1020,,,"note on creep buckling of columns .   the results of short-time creep-buckling and creep-bending tests of slenderness ratio 111 are presented . the tests were performed at 600 f, and strain measurements were taken with high-temperature electric-resistance strain gages .  a description of the development of the gages is given in an appendix .  the column tests show that the critical time decreases much more rapidly with increasing load than with increasing initial deviation from straightness . the bending tests indicate that the steady creep rate of the curvature is a simple power function of applied moment .  these latter results, together with a previously derived creep-buckling theory, are used to develop a semiempirical formula suitable as a guide for the determination of the critical time for columns .",note on creep buckling of columns .
1038,,,"on transverse vibrations of thin, shallow elastic shells .   the deformation and complete stress distribution are determined for each of the following edge-loaded thin shells ..  (1) a right circular cylinder, (2) a frustum of a right circular cone, and (3) a portion of a sphere .  the locations of maximum circumferential and meridional stresses are also found .  equations are developed for discontinuity shear and moment at the following junctions .. circular cylinder, (2) axial change of thickness in a cone, (3) change of thickness in a portion of a sphere, cylinder and a portion of a sphere,","on transverse vibrations of thin, shallow elastic shells ."
1039,,,"on transverse vibrations of thin, shallow elastic shells .   an experimental investigation was made (1) to evaluate previously published theoretical procedures for the prediction of stress distribution for cases of radially symmetric abrupt change in wall thickness of thin-walled cylinders subject to internal pressure and (2) to investigate the significance of stresses attributable to the presence of thickness changes typical of design practice . one theory was adequate in itself for solution of the case of continuous middle surface,. use of the second theoretical procedure was required to determine the additional stresses arising from discontinuous middle surfaces at the change in thickness .   comparisons were made between theoretical and experimental stress distributions for cases with continuous middle and continuous inner surfaces for radially symmetric changes in wall thickness of a cylinder subject to internal pressure for diameter to larger wall thickness ratios of 117 and 28 and for the case of a continuous outer surface for a ratio of 28 .  in all tests the ratio of wall thicknesses at the change in wall thickness was 0.4 .   there was reasonably good correlation between theoretical and experimental curves of stress distribution . on the basis of this correlation, it was concluded that the applicable theories were valid .  it was shown that inclusion of the stresses arising from the condition of discontinuous middle surfaces at a change in thickness has an important effect on stress distribution .   in the case of a cylinder with a continuous outer surface, the maximum mean effective stress was of sufficient magnitude to indicate that this geometry should be avoided in design if possible .  the maximum mean effective stress was not increased to a significant degree by the presence of a change in wall thickness in the other cases .","on transverse vibrations of thin, shallow elastic shells ."
1041,"c. e. taylor and e. wenk, jr.","structural research engineer, david taylor model basin head, structures division, david taylor model basin","analysis of stresses in the elements of shell structure . the love-meissner analysis for thin shells has previously been applied to cones of uniform wall thickness, and solutions for the stress resultants were given in terms of kelvin's functions . since tabulation of these functions for large arguments is not practical, considerable computation was still required .  in the present paper, the authors define special functions which eliminate the necessity of evaluating kelvin/s functions and which may be used with simple algebraic and trigonometric functions to compute the boundary forces and displacements for cones for various loading conditions .  these special functions also make clear the magnitude of errors which result from geckeler/s and other approximate solutions .",analysis of stresses in the elements of shell structure .
1043,,,"on transverse vibrations of thin, shallow elastic shells .   a numerical analysis is given for the solution of the general equations of thin shells of revolution subjected to rotationally symmetric pressure and temperature distributions .   the basic differential equations are in a very general form, which permits the geometry of the shells considered, to be specified by discrete data points .   the analysis determines elastic stresses, strains and displacements for multi-layer and multi-sectional shells of revolution .  surface loads, temperatures, thicknesses and material properties may vary arbitrarily in the meridional direction .  temperatures and material properties can also vary through the thickness .   the solution is obtained by direct computation using a numerical method that employs two by two coefficient matrices,. and hence avoids the problems of slow convergence . the solution has been programmed in a semi-algebraic language which can be used on most high speed computers . comparisons of numerical solutions to known exact and approximate solutions of the thin shell equations are made to demonstrate the accuracy of this method .","on transverse vibrations of thin, shallow elastic shells ."
1044,"reissner,e.","reissner anniv. 1949, 231.","on the theory of thin elastic shells .   general equations for the symmetrical finite deflection of a rotationally symmetric thin shell are first obtained .  for small deflections these equations are reduced to a pair of equations for the change of slope of the shell surface and the product of the undeformed radius of the shell to the radial stress .  this choice of dependent variable is shown to be advantageous .  two cases of shallow shells give particularly simple solutions ..  parabolic shells of nth degree and uniform thickness, and parabolic shells of mth degree with thickness varying as mth power of the distance from the apex .  for the first case, the solutions can be expressed in terms of cylinder functions,. for the second, in powers of the paper concludes with a discussion of the asymptotic solutions for small thickness .",on the theory of thin elastic shells .
1045,"zender,g.w.","j. ae. scs. 29, 1962, 362.","the bending strength of pressurized cylinders .   discussion of previously presented experimental data for the loading of pressurized cylinders, in terms of membrane theory .",the bending strength of pressurized cylinders .
1046,,,the bending strength of pressurized cylinders .   a theoretical solution is given for the critical stress of thin-walled cylinders loaded in torsion . the results are presented in terms of a few simple formulas and curves which are applicable to a wide range of cylinder dimensions from very short cylinders of large radius to long cylinders of small radius .  theoretical results are found to be in somewhat better agreement with experimental results than previous theoretical work for the same range of cylinder dimensions .,the bending strength of pressurized cylinders .
1048,"stein,m. and mayers,j.","naca r.1008, 1951.",a small deflection theory for curved sandwich plates .   a small-deflection theory that takes into account deformations due to transverse shear is presented for the elastic-behavior analysis of orthotropic plates of constant cylindrical curvature with considerations of buckling included .  the theory is applicable primarily to sandwich construction .,a small deflection theory for curved sandwich plates .
1049,"libove,c. and hubka,r.e.","naca tn.2289, 1951.",elastic constants for corrugated core sandwich plates .   the sandwich plate consisting of corrugated sheet fastened between two face sheets is considered .  application of existing theories to the analysis of such a sandwich plate requires the knowledge of certain elastic constants .  formulas and charts are presented for the evaluation of these constants .  the formulas for three of these constants were checked experimentally and found to give values in close agreement with the experimental values .,elastic constants for corrugated core sandwich plates .
1050,"stein,m. and mayers,j.","naca tn.2601, 1952.",compressive buckling of simply supported curved plates and cylinders of sandwich construction .   theoretical solutions are presented for the buckling in uniform axial compression of two types of simply supported curved sandwich plates ..  the corrugated-core type and the isotropic-core type .  the solutions are obtained from a theory for orthotropic curved plates in which deflections due to shear are taken into account .  results are given in the form of equations and curves .,compressive buckling of simply supported curved plates and cylinders of sandwich construction .
1052,william a. nash,"professor of engineering mechanics, university of florida","recent advances in the buckling of thin shells . the importance of the field of shell analysis is evidenced by the fact that in august, 1959, the international union of theoretical and applied mechanics conducted a symposium on the theory of thin elastic shells in delft, holland .  this special meeting was attened by approximately 65 scientists in this field from 14 countries .  this symposium indicated that considerable interest currently exists in such relatively new topics as the buckling of bimetallic shells, pressurized shells, creep buckling, and dynamic buckling, as well as in the more traditional problems involving isotropic shells of various geometries .",recent advances in the buckling of thin shells .
